"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"P3904",NA,69,"131","153",151,172
"P3905",NA,64,"135","141",149,151
"P3906",NA,59,"113","117",128,131
"P3907",NA,69,"109","117",128,145
"P3908",NA,67,"106","109",121,124
"P3909",NA,67,"103","111",121,131
"P4001",NA,69,"131","139",141,151
"P4002",NA,77,"131","151",135,162
"P4003",NA,64,"115","124",135,139
"P4004",NA,67,"103","106",117,131
"P4005",NA,53,"100","111",115,124
"P4006",NA,67,"109","117",124,131
"P4007",NA,64,"117","124",139,151
"P4008",NA,59,"162","179",202,210
"P4101",NA,93,"141","151",151,172
"P4102",NA,67,"100","109",117,124
"P4103",NA,67,"111","121",128,141
"P4104",NA,69,"131","139",139,149
"P4105",NA,67,"131","139",141,149
"P4106",NA,84,"145","153",159,162
"P4107",NA,77,"128","131",135,145
"P4108",NA,71,"168","174",198,217
"P4109",NA,62,"113","117",128,151
"P4201",NA,73,"131","135",139,153
"P4202",NA,69,"115","124",131,141
"P4203",NA,67,"115","124",128,141
"P4204",NA,67,"139","141",145,172
"P4205",NA,69,"135","139",141,149
"P4206",NA,53,"121","128",141,151
"P4207",NA,77,"121","131",141,149
"P4208",NA,69,"128","135",141,149
"P4301",NA,67,"106","117",128,131
"P4302",NA,67,"128","135",139,145
"P4303",NA,59,"117","126",131,139
"P4304",NA,77,"141","153",151,172
"P4305",NA,69,"115","119",131,145
"P4306",NA,64,"121","128",131,141
"P4307",NA,53,"119","124",128,139
"P4308",NA,69,"117","124",131,145
"P4309",NA,71,"159","166",187,207
"P4401",NA,62,"121","141",149,151
"P4402",NA,67,"131","135",141,149
"P4403",NA,73,"141","149",159,162
"P4404",NA,64,"149","151",159,174
"P4405",NA,67,"135","139",145,151
"P4406",NA,64,"135","139",149,151
"P4407",NA,62,"113","117",131,141
"P4408",NA,67,"113","117",131,141
"P4501",NA,69,"131","141",145,151
"P4502",NA,69,"131","135",139,149
"P4503",NA,73,"117","135",139,141
"P4504",NA,73,"131","139",141,149
"P4505",NA,71,"155","159",187,198
"P4506",NA,62,"106","115",124,128
"P4507",NA,69,"109","117",124,139
"P4508",NA,69,"128","139",135,141
"P4509",NA,67,"119","124",135,139
"P4601",NA,73,"155","159",168,174
"P4602",NA,62,"113","121",121,139
"P4603",NA,67,"135","139",149,151
"P4604",NA,59,"124","135",139,141
"P4605",NA,71,"135","139",149,151
"P4606",NA,75,"128","139",141,145
"P4607",NA,69,"106","112",121,124
"P4608",NA,69,"115","131",124,141
"P4701",NA,69,"128","135",139,149
"P4702",NA,69,"145","168",153,187
"P4703",NA,67,"113","119",128,139
"P4704",NA,67,"124","131",139,141
"P4705",NA,73,"128","141",145,159
"P4706",NA,73,"135","139",149,151
"P4707",NA,67,"115","119",128,139
"P4708",NA,69,"117","121",128,141
"P4709",NA,67,"106","109",121,124
"P4801",NA,41,"174","181",198,217
"P4802",NA,62,"131","141",135,153
"P4803",NA,69,"115","124",131,139
"P4804",NA,64,"113","117",128,131
