"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"C1521",92,109,"172","174",188,190
"C1522",108,119,"161","165",172,179
"C1523",112,120,"168","169",183,190
"C1601",98,116,"156","165",169,187
"C1602",94,115,"167","169",183,193
"C1603",111,127,"169","172",187,200
"C1604",103,118,"179","181",200,209
"C1605",108,116,"165","167",187,190
"C1606",92,99,"173","174",200,207
"C1607",95,116,"173","174",197,200
"C1608",95,116,"166","167",190,200
"C1609",115,127,"197","223",NA,NA
"C1610",95,124,"170","172",187,190
"C1611",93,103,"166","167",190,193
"C1612",95,119,"169","172",190,200
"C1613",99,116,"161","165",172,179
"C1614",97,109,"177","179",197,202
"C1615",92,99,"158","161",172,176
"C1616",95,109,"162","165",183,190
"C1617",91,109,"170","172",197,202
"C1618",93,118,"167","172",190,193
"C1619",99,115,"176","179",197,200
"C1620",99,109,"177","179",197,200
"C1621",111,123,"170","172",190,202
"C1622",99,116,"165","167",179,193
"C1701",110,127,"172","174",197,207
"C1702",106,119,"165","167",179,193
"C1703",92,99,"172","176",193,200
"C1704",94,109,"174","179",200,202
"C1705",94,110,"175","176",200,204
"C1706",91,95,"170","172",197,200
"C1707",108,120,"162","165",176,179
"C1708",104,120,"169","172",193,200
"C1709",94,117,"170","172",197,200
"C1710",109,120,"177","174",198,200
"C1711",99,112,"193","197",221,NA
"C1712",94,110,"166","167",187,193
"C1713",100,116,"158","167",176,193
"C1714",95,119,"165","167",183,202
"C1715",93,109,"170","172",193,200
"C1716",104,124,"170","172",193,197
"C1717",94,112,"167","169",193,200
"C1718",97,109,"165","167",183,200
"C1719",99,109,"156","165",169,172
"C1720",107,115,"197","200",225,NA
"C1721",93,109,"165","167",179,187
"C1722",105,119,"174","176",197,209
"C1723",108,125,"181","193",209,218
"C1801",100,110,"166","167",179,183
"C1802",111,129,"166","167",187,176
"C1803",NA,NA,NA,NA,NA,NA
"C1804",98,127,"169","172",187,190
"C1805",94,112,"173","174",193,218
"C1806",109,116,"197","200",NA,NA
"C1807",NA,NA,NA,NA,NA,NA
"C1808",94,116,"172","174",197,204
"C1809",94,115,"158","161",176,179
"C1810",110,119,"165","167",187,190
"C1811",91,99,"165","167",187,190
"C1812",92,99,"173","169",187,190
"C1813",97,111,"161","165",174,176
"C1814",NA,NA,NA,NA,NA,NA
"C1815",98,110,"161","165",176,181
"C1816",97,109,"172","174",197,200
"C1817",93,103,"166","167",181,187
"C1818",94,121,"165","167",181,187
"C1819",95,111,"174","176",197,NA
"C1820",98,120,"165","167",176,181
"C1821",93,106,"168","169",193,202
"C1822",109,121,"169","174",190,200
"C1901",95,111,"167","172",190,202
"C1902",95,109,"190","193",223,NA
"C1903",95,127,"172","179",190,207
"C1904",98,109,"165","169",183,190
"C1905",98,120,"172","193",207,223
"C1906",98,121,"165","169",181,187
"C1907",108,125,"156","158",165,167
"C1908",95,112,"169","172",190,200
"C1909",NA,NA,NA,NA,NA,NA
"C1910",NA,NA,NA,NA,NA,NA
"C1911",104,119,"172","174",197,200
"C1912",94,111,"172","179",197,200
"C1913",92,111,"176","176",200,NA
"C1914",109,120,"172","176",187,193
"C1915",99,118,"174","174",197,200
"C1916",103,116,"173","174",200,211
"C1917",NA,NA,NA,NA,NA,NA
"C1918",109,116,"165","167",176,190
"C1919",94,106,"162","165",183,204
"C1920",94,103,"165","167",190,200
"C1921",99,110,"190","193",219,NA
"C1922",97,109,"176","179",197,211
