"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"M2111",107,116,"179","183",202,207
"M2112",107,116,"187","193",209,209
"M2113",107,116,"172","176",195,197
"M2114",108,116,"167","172",187,188
"M2115",109,118,"169","172",188,188
"M2116",110,118,"188","190",207,209
"M2117",112,118,"179","181",195,200
"M2118",110,116,"179","183",204,207
"M2119",108,116,"172","174",190,197
"M2120",110,123,"204","207",NA,NA
"M2121",107,116,"168","172",188,190
"M2122",108,116,"172","176",190,193
"M2201",108,118,"174","176",195,195
"M2202",107,118,"183","187",204,207
"M2203",108,118,"179","179",195,200
"M2204",106,116,"181","183",200,207
"M2205",107,118,"172","176",193,195
"M2206",110,116,"188","190",207,209
"M2207",110,118,"168","172",188,190
"M2208",109,118,"179","183",197,200
"M2209",110,118,"179","193",202,207
"M2210",110,116,"190","193",209,214
"M2211",109,116,"179","183",202,207
"M2212",107,116,"187","193",214,218
"M2213",107,120,"193","195",214,NA
"M2214",110,120,"176","181",197,200
"M2215",110,116,"179","179",197,200
"M2216",109,118,"179","183",204,223
"M2217",110,123,"188","193",209,214
"M2218",110,116,"172","174",193,193
"M2219",108,118,"195","197",214,221
"M2220",106,116,"179","181",195,197
"M2221",107,118,"167","172",188,190
"M2222",109,116,"179","183",202,204
"M2223",112,125,"181","190",200,214
"M2301",109,116,"176","179",195,197
"M2302",108,118,"168","172",190,193
"M2303",106,116,"179","183",195,200
"M2304",110,118,"181","183",195,200
"M2305",109,116,"172","174",190,195
"M2306",NA,NA,"193","200",221,228
"M2307",108,118,"172","179",190,193
"M2308",110,116,"172","174",193,197
"M2309",109,116,"179","179",197,202
"M2310",107,116,"176","179",200,202
"M2311",108,116,"179","188",202,207
"M2312",110,116,"187","190",207,209
"M2313",109,116,"181","183",200,204
"M2314",104,116,"181","188",204,207
"M2315",107,116,"179","181",200,202
"M2316",110,116,"179","183",197,200
"M2317",109,116,"179","181",200,202
"M2318",109,116,"190","193",211,214
"M2319",109,116,"179","181",200,202
"M2320",108,116,"181","183",202,207
"M2321",110,118,"190","193",204,207
"M2322",120,130,"179","193",202,214
"M2401",109,118,"179","181",200,202
"M2402",110,116,"179","183",200,202
"M2403",110,118,"202","207",NA,NA
"M2404",110,116,"179","183",200,202
"M2405",109,118,"179","183",202,207
"M2406",106,116,"188","193",214,218
"M2407",110,118,"187","187",204,211
"M2408",109,116,"172","174",195,200
"M2409",108,116,"172","179",190,193
"M2410",105,116,"183","193",207,211
"M2411",110,116,"179","181",202,209
"M2412",108,116,"179","181",195,195
"M2413",109,116,"183","187",202,207
"M2414",107,116,"181","187",200,202
"M2415",109,118,"172","172",187,188
"M2416",109,118,"172","174",190,193
"M2417",108,116,"172","172",187,190
"M2418",110,123,"176","179",202,204
"M2419",110,118,"190","193",214,218
"M2420",108,116,"181","187",200,202
"M2421",110,118,"183","188",204,209
"M2422",108,118,"181","183",204,207
"M2423",110,118,"179","181",202,204
"M2501",109,118,"179","181",202,204
"M2502",108,118,"181","187",200,207
"M2503",109,116,"168","174",188,190
"M2504",106,118,"187","190",209,214
"M2505",110,118,"179","183",195,197
"M2506",108,118,"172","176",188,193
"M2507",108,116,"187","193",207,209
"M2508",107,116,"179","187",202,204
"M2509",109,116,"172","174",193,195
"M2510",108,116,"187","190",204,209
"M2511",110,116,"179","183",204,207
"M2512",106,116,"188","193",214,218
"M2513",110,116,"179","179",195,195
"M2514",107,116,"193","195",214,216
"M2515",106,118,"179","183",204,207
"M2516",106,116,"168","176",187,195
"M2517",110,118,"179","183",193,197
"M2518",107,116,"188","190",211,216
"M2519",109,116,"176","181",204,214
"M2520",107,125,"179","183",195,200
"M2521",109,116,"174","179",197,200
"M2522",109,120,"181","190",202,221
"M2601",104,116,"172","181",193,197
"M2602",110,118,"172","179",195,200
"M2603",110,118,"179","183",207,209
"M2604",110,116,"176","181",197,202
"M2605",109,116,"174","179",193,195
"M2606",109,116,"188","190",207,209
"M2607",107,118,"181","187",204,207
"M2608",109,116,"183","187",202,204
"M2609",110,120,"207","209",NA,NA
"M2610",110,120,"181","187",207,209
"M2611",106,116,"179","183",195,200
"M2612",110,118,"179","183",202,204
"M2613",109,118,"179","181",193,195
"M2614",109,118,"176","179",193,195
"M2615",NA,NA,"160","172",176,181
"M2616",109,116,"188","193",207,209
"M2617",110,116,"174","174",195,200
"M2618",108,116,"172","176",190,195
"M2619",107,116,"174","176",195,195
"M2620",110,120,"181","187",204,207
"M2621",106,116,"179","181",200,202
"M2622",110,118,"181","187",200,202
"M2623",110,123,"172","174",193,195
"M2701",109,116,"172","174",193,195
"M2702",112,120,"160","167",176,179
"M2703",109,118,"188","190",207,209
"M2704",106,116,"168","172",188,190
"M2705",103,120,"193","197",221,228
"M2706",105,116,"168","172",188,190
"M2707",109,116,"183","187",202,207
"M2708",108,116,"176","179",197,200
"M2709",107,116,"179","183",200,202
"M2710",110,118,"176","179",197,200
"M2711",110,116,"168","172",188,190
"M2712",110,116,"172","174",190,193
"M2713",108,116,"174","179",193,193
"M2714",115,118,"187","202",207,225
"M2715",107,118,"183","187",202,207
"M2716",108,116,"172","174",193,195
"M2717",107,116,"172","174",193,193
"M2718",110,116,"179","183",200,207
"M2719",105,118,"214","225",NA,NA
"M2720",110,118,"188","190",204,209
"M2721",106,118,"179","187",195,204
"M2722",109,118,"172","179",195,197
"M2801",107,116,"176","181",200,202
"M2802",110,116,"172","174",195,197
"M2803",108,116,"174","176",193,195
"M2804",107,118,"183","187",204,207
"M2805",110,118,"181","187",204,209
"M2806",106,116,"187","190",207,211
"M2807",109,116,"172","174",188,193
"M2808",112,118,"188","190",209,214
"M2809",109,116,"174","176",190,193
"M2810",110,118,"172","176",190,193
"M2811",106,118,"214","221",NA,NA
"M2812",110,116,"179","181",200,202
"M2813",109,116,"179","181",197,202
"M2814",107,116,"181","187",197,200
"M2815",110,118,"176","179",200,202
"M2816",110,123,"207","209",NA,NA
"M2817",106,118,"174","179",195,195
"M2818",110,120,"193","195",211,218
"M2819",108,118,"187","193",211,216
"M2820",109,123,"176","179",195,202
"M2821",110,118,"174","179",193,195
"M2822",107,120,"183","188",200,202
"M2823",110,118,"183","188",207,216
"M2901",109,123,"172","174",190,193
"M2902",109,118,"179","181",204,207
"M2903",108,116,"172","188",207,209
"M2904",110,118,"179","181",197,200
"M2905",109,116,"181","187",197,202
"M2906",110,116,"188","193",209,214
"M2907",110,116,"179","183",202,207
"M2908",107,116,"176","179",193,197
"M2909",105,116,"187","187",209,214
"M2910",110,123,"187","190",207,209
"M2911",106,116,"179","181",195,200
"M2912",108,118,"193","195",211,214
"M2913",110,116,"168","172",197,200
"M2914",110,116,"179","183",202,207
"M2915",109,116,"172","176",195,200
"M2916",107,116,"190","193",204,207
"M2917",110,120,"181","187",202,207
"M2918",110,120,"172","174",195,200
"M2919",110,118,"183","187",207,209
"M2920",106,118,"181","187",197,200
"M2921",110,130,"204","207",NA,NA
"M2922",108,118,"172","179",193,195
"M3001",107,116,"183","187",202,204
"M3002",109,118,"172","179",193,195
"M3003",105,116,"172","179",193,197
"M3004",109,118,"204","207",NA,NA
"M3005",108,118,"179","181",195,197
"M3006",108,116,"168","172",190,190
"M3007",110,116,"160","165",176,176
"M3008",110,120,"174","179",195,200
"M3009",107,116,"176","179",197,200
"M3010",110,118,"188","190",209,211
"M3011",110,118,"168","172",187,190
"M3012",108,116,"181","187",200,204
"M3013",110,118,"172","172",187,187
"M3014",105,118,"211","218",NA,NA
"M3015",107,116,"179","183",197,200
"M3016",110,118,"166","172",187,187
"M3017",106,116,"174","179",195,197
"M3018",110,118,"179","181",197,202
"M3019",110,116,"193","195",221,225
"M3020",105,118,"188","190",209,225
"M3021",109,118,"179","181",195,197
"M3022",109,116,"187","187",200,204
"M3023",106,116,"179","187",204,209
"M3101",107,116,"187","193",209,214
"M3102",110,116,"188","190",209,211
"M3103",109,116,"172","174",190,195
"M3104",108,116,"181","183",200,207
"M3105",110,116,"179","187",200,211
"M3106",110,116,"166","172",188,190
"M3107",110,116,"176","181",197,200
"M3108",110,118,"179","181",200,202
"M3109",107,116,"172","174",193,193
"M3110",107,116,"172","174",193,195
"M3111",110,123,"204","209",NA,NA
"M3112",109,120,"181","187",200,204
"M3113",110,116,"179","183",200,204
"M3114",110,120,"179","183",204,209
"M3115",110,120,"183","187",207,211
"M3116",110,120,"172","176",197,200
"M3117",109,116,"181","187",204,207
"M3118",112,120,"176","179",195,197
"M3119",110,116,"190","193",214,216
"M3120",110,120,"181","187",197,202
"M3121",109,116,"190","193",209,214
"M3122",110,118,"174","187",193,209
"M3201",110,116,"172","176",193,195
"M3202",110,116,"190","193",209,211
"M3203",109,118,"179","183",197,202
"M3204",NA,NA,"197","202",221,225
"M3205",107,116,"179","187",200,211
"M3206",109,116,"174","176",190,193
"M3207",111,116,"187","195",207,214
"M3208",109,116,"172","172",190,193
"M3209",109,116,"179","181",197,200
"M3210",110,116,"190","193",207,211
"M3211",108,116,"183","188",200,207
"M3212",110,116,"172","176",193,197
"M3213",110,118,"181","187",202,207
"M3214",109,118,"187","187",204,207
"M3215",107,116,"179","183",197,200
"M3216",112,125,"179","181",197,211
"M3217",108,118,"168","172",188,197
"M3218",110,118,"183","188",207,216
"M3219",110,116,"181","183",207,209
"M3220",109,120,"172","179",195,197
"M3221",108,118,"190","195",216,221
"M3222",110,118,"168","172",188,193
"M3223",110,118,"188","193",209,214
"M3301",110,116,"172","179",190,193
"M3302",106,116,"174","176",190,195
"M3303",107,116,"179","181",197,200
"M3304",112,125,"179","193",200,209
"M3305",109,116,"174","179",197,200
"M3306",107,116,"174","179",197,200
"M3307",108,116,"187","190",204,207
"M3308",109,116,"181","183",197,204
"M3309",110,116,"172","174",187,187
"M3310",110,116,"181","188",197,202
"M3311",112,118,"176","183",197,200
"M3312",109,116,"183","187",200,202
"M3313",111,120,"172","174",188,193
"M3314",110,116,"176","179",197,200
"M3315",110,116,"176","179",193,195
"M3316",111,118,"168","172",190,193
"M3317",112,120,"181","187",204,218
"M3318",110,118,"172","172",188,190
"M3319",109,118,"179","187",197,202
"M3320",110,118,"167","172",187,190
"M3321",110,116,"172","174",190,202
"M3322",110,120,"179","181",195,197
"M3401",110,116,"188","193",207,209
"M3402",110,116,"169","172",187,187
"M3403",110,118,"190","193",209,214
"M3404",106,116,"169","172",188,193
"M3405",109,116,"167","180",187,188
"M3406",110,118,"172","174",195,200
"M3407",110,120,"214","221",NA,NA
"M3408",108,116,"172","174",190,193
"M3409",108,118,"190","193",207,209
"M3410",112,130,"172","174",190,197
"M3411",112,118,"179","181",200,204
"M3412",110,116,"183","190",200,202
"M3413",110,116,"172","176",190,193
"M3414",109,116,"176","179",195,197
"M3415",107,116,"172","176",190,193
"M3416",110,120,"183","187",207,211
"M3417",109,116,"176","179",197,200
"M3418",110,120,"204","209",NA,NA
"M3419",110,118,"179","181",204,214
"M3420",112,120,"172","176",190,193
"M3421",110,118,"176","179",195,197
"M3422",112,120,"209","214",228,NA
"M3423",107,116,"169","172",183,188
"M3501",106,116,"181","188",202,207
"M3502",107,116,"181","187",200,202
"M3503",107,120,"172","172",190,193
"M3504",110,123,"160","165",172,174
"M3505",110,116,"183","188",200,204
"M3506",109,116,"172","172",190,195
"M3507",110,118,"172","179",193,195
"M3508",109,118,"179","181",197,202
"M3509",109,120,"179","181",197,200
"M3510",109,118,"183","188",200,207
"M3511",110,118,"187","190",207,209
"M3512",107,116,"181","183",207,209
"M3513",109,116,"181","187",202,204
"M3514",110,116,"160","165",174,176
"M3515",109,116,"187","190",209,214
"M3516",107,118,"172","174",190,193
"M3517",110,118,"188","190",207,209
"M3518",109,118,"174","179",197,200
"M3519",111,118,"169","172",187,187
"M3520",110,116,"179","187",197,200
"M3521",107,116,"190","193",211,216
"M3522",110,118,"172","179",197,200
"M3601",108,116,"176","181",200,202
"M3602",109,116,"172","181",197,200
"M3603",109,118,"179","181",197,200
"M3604",110,118,"187","190",209,214
"M3605",108,116,"172","174",193,195
"M3606",105,118,"181","190",200,204
"M3607",108,116,"172","176",193,197
"M3608",112,130,"204","209",NA,NA
"M3609",110,118,"174","179",190,193
"M3610",110,120,"176","179",197,202
"M3611",109,118,"179","187",200,207
"M3612",107,116,"193","195",214,218
"M3613",110,118,"179","181",195,197
"M3614",109,118,"179","181",197,202
"M3615",111,120,"181","183",204,207
"M3616",111,118,"179","181",202,204
"M3617",109,116,"172","179",195,197
"M3618",110,116,"174","179",193,195
"M3619",110,118,"179","181",197,202
"M3620",110,118,"181","187",211,214
"M3621",108,116,"176","179",190,193
"M3622",107,116,"183","187",200,204
"M3623",109,118,"195","197",218,221
"M3701",106,116,"172","174",190,193
"M3702",106,116,"179","183",200,200
"M3703",106,118,"165","167",179,187
"M3704",110,120,"179","183",204,209
"M3705",110,118,"181","187",202,207
"M3706",109,120,"181","187",200,202
"M3707",109,116,"179","187",200,204
"M3708",108,116,"179","187",207,228
"M3709",109,116,"174","179",200,202
"M3710",109,116,"172","176",197,200
"M3711",108,118,"179","183",200,202
"M3712",109,118,"181","188",202,207
"M3713",110,118,"176","179",200,200
"M3714",109,120,"172","179",200,200
"M3715",110,116,"179","183",204,209
"M3716",112,116,"176","179",200,202
"M3717",108,118,"214","221",NA,NA
"M3718",110,116,"160","165",174,176
"M3719",110,116,"183","187",200,207
"M3720",109,120,"190","193",214,221
"M3721",110,118,"179","181",200,202
"M3722",109,118,"174","176",197,200
"M3801",108,116,"183","188",209,211
"M3802",110,116,"176","181",197,200
"M3803",109,118,"176","179",197,200
"M3804",110,118,"188","193",207,211
"M3805",NA,NA,"200","207",221,228
"M3806",110,116,"183","188",204,207
"M3807",110,118,"188","193",204,209
"M3808",110,118,"172","179",187,200
"M3809",110,120,"181","187",202,207
"M3810",109,116,"169","172",188,193
"M3811",110,118,"179","181",197,200
"M3812",108,118,"179","187",202,207
"M3813",109,118,"174","179",197,200
"M3814",109,116,"190","193",209,214
"M3815",109,118,"190","197",211,214
"M3816",110,116,"172","174",188,193
"M3817",110,118,"190","193",214,218
"M3818",112,116,"172","176",200,200
"M3819",110,118,"172","176",195,200
"M3820",110,118,"183","187",204,207
"M3821",110,116,"193","195",214,218
"M3822",123,134,"176","190",197,211
"M3823",108,116,"183","188",204,207
"M3901",110,116,"187","190",204,207
"M3902",109,116,"172","176",188,193
"M3903",110,120,"218","221",NA,NA
"M3904",110,118,"204","209",NA,NA
"M3905",110,116,"179","179",197,200
"M3906",109,116,"176","179",195,200
"M3907",108,116,"188","190",209,211
"M3908",110,125,"183","187",204,209
"M3909",107,116,"179","187",204,207
"M3910",110,116,"179","181",195,197
"M3911",108,116,"181","187",202,204
"M3912",110,116,"181","187",200,204
"M3913",110,116,"176","179",200,200
"M3914",110,116,"174","179",193,197
"M3915",112,118,"179","183",200,209
"M3916",110,118,"187","190",209,214
"M3917",109,118,"172","176",190,193
"M3918",110,116,"187","190",207,209
"M3919",110,118,"176","179",200,202
"M3920",112,127,"187","190",209,209
"M3921",110,118,"190","195",214,218
"M3922",110,118,"176","179",197,200
"M4001",109,116,"179","181",200,200
"M4002",112,118,"176","179",195,200
"M4003",110,118,"183","187",207,211
"M4004",108,116,"183","187",202,207
"M4005",107,116,"188","190",204,207
"M4006",110,116,"190","193",214,216
"M4007",110,116,"169","174",183,187
"M4008",109,118,"176","179",200,200
"M4009",107,116,"190","197",207,216
"M4010",112,120,"188","193",207,209
"M4011",112,118,"187","190",209,211
"M4012",111,116,"172","174",187,187
"M4013",109,118,"179","181",197,200
"M4014",110,118,"174","179",200,200
"M4015",108,116,"169","172",190,193
"M4016",109,116,"172","172",190,193
"M4017",110,116,"176","179",193,200
"M4018",111,118,"181","187",207,209
"M4019",108,116,"195","202",209,214
"M4020",112,118,"193","197",214,221
"M4021",112,120,"172","174",190,195
"M4022",110,116,"179","183",200,204
"M4023",110,118,"183","187",204,207
"M4101",110,130,"207","209",NA,NA
"M4102",107,116,"183","187",200,200
"M4103",107,116,"179","181",200,200
"M4104",110,116,"176","181",202,207
"M4105",110,118,"181","187",202,207
"M4106",110,116,"183","187",204,207
"M4107",109,116,"179","183",204,209
"M4108",110,116,"179","181",200,202
"M4109",111,118,"183","188",202,209
"M4110",110,123,"207","209",216,NA
"M4111",115,130,"187","190",207,209
"M4112",110,118,"190","193",209,214
"M4113",110,118,"193","197",211,218
"M4114",110,116,"160","162",174,176
"M4115",110,116,"181","187",204,207
"M4116",109,116,"190","193",214,218
"M4117",107,116,"188","190",209,214
"M4118",110,118,"172","176",190,193
"M4119",111,118,"179","181",197,200
"M4120",110,123,"209","211",228,NA
"M4121",108,118,"169","172",187,200
"M4122",112,118,"172","174",188,197
"M4201",112,132,"179","183",200,202
"M4202",110,116,"181","187",200,204
"M4203",107,116,"183","187",202,207
"M4204",109,116,"183","187",211,214
"M4205",110,118,"172","174",190,193
"M4206",108,116,"190","193",214,216
"M4207",107,116,"179","183",204,207
"M4208",110,118,"169","174",188,190
"M4209",110,116,"160","162",174,176
"M4210",109,118,"181","187",200,200
"M4211",109,116,"183","188",207,211
"M4212",110,116,"176","181",195,200
"M4213",109,116,"179","181",200,200
"M4214",110,120,"179","181",200,202
"M4215",109,116,"181","188",200,204
"M4216",108,116,"179","183",200,207
"M4217",110,118,"179","183",200,200
"M4218",109,118,"187","190",202,207
"M4219",110,116,"190","195",209,214
"M4220",110,118,"181","187",200,202
"M4221",112,118,"179","187",202,211
"M4222",108,116,"181","187",200,204
"M4223",108,116,"176","179",195,200
"M4301",109,118,"172","174",183,190
"M4302",110,116,"172","174",190,193
"M4303",110,123,"187","190",207,209
"M4304",107,116,"174","179",195,197
"M4305",108,116,"179","187",207,209
"M4306",111,116,"179","183",195,200
"M4307",108,118,"179","183",200,202
"M4308",110,116,"176","179",195,200
"M4309",109,116,"187","190",202,204
"M4310",110,118,"179","181",197,207
"M4311",109,118,"211","218",NA,NA
"M4312",110,118,"179","183",200,204
"M4313",110,116,"183","188",200,209
"M4314",115,130,"207","211",NA,NA
"M4315",108,118,"193","197",211,214
"M4316",109,116,"183","187",202,204
"M4317",108,118,"176","179",193,197
"M4318",110,118,"193","195",211,214
"M4319",110,118,"181","187",200,202
"M4320",112,120,"179","183",200,204
"M4321",107,116,"179","183",200,200
"M4322",109,118,"176","179",197,200
