"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"N3005",83,90,"169","171",191,194
"N3006",89,99,"190","193",229,238
"N3007",81,91,"180","182",204,209
"N3008",83,91,"168","170",188,192
"N3009",90,95,"169","171",196,200
"N3010",81,90,"176","180",198,206
"N3011",90,99,"190","193",229,236
"N3012",81,91,"178","182",204,209
"N3013",83,90,"152","159",167,177
"N3014",NA,NA,"N/A","N/A",NA,NA
"N3015",93,96,"179","180",200,205
"N3016",87,92,"164","165",188,190
"N3017",90,94,"184","188",204,209
"N3018",89,91,"167","170",188,191
"N3019",89,91,"177","180",204,207
"N3020",89,92,"164","171",182,191
"N3101",83,98,"190","193",222,NA
"N3102",83,89,"164","165",183,189
"N3103",88,91,"166","170",200,204
"N3104",89,91,"176","178",204,207
"N3105",83,90,"167","171",188,191
"N3106",89,91,"174","178",198,200
"N3107",83,90,"171","173",193,196
"N3108",89,93,"164","166",186,190
"N3109",85,91,"153","161",166,169
"N3110",89,95,NA,"162",172,179
"N3111",NA,91,"171","174",198,202
"N3112",90,95,"152","158",162,167
"N3113",94,102,"158","164",175,182
"N3114",90,99,"169","173",188,191
"N3115",83,89,"163","168",193,196
"N3116",83,97,"200","203",232,237
"N3117",83,94,"164","165",191,194
"N3118",90,96,"158","163",175,181
"N3119",NA,NA,"178","179",201,208
"N3201",90,96,"171","173",199,202
"N3202",88,92,"170","173",196,202
"N3203",88,90,"174","178",200,204
"N3204",81,90,"170","171",194,200
"N3205",88,91,"164","166",189,193
"N3206",89,91,"158","166",174,180
"N3207",83,91,"157","168",172,NA
"N3208",81,96,"200","204",235,237
"N3209",87,91,"155","160",171,174
"N3210",88,94,"168","170",186,190
"N3211",90,94,"169","171",197,202
"N3212",90,93,"157","164",172,179
"N3213",90,94,"170","171",198,200
"N3214",89,93,"168","171",188,192
"N3215",87,91,"170","174",196,200
"N3216",88,91,"171","173",195,199
"N3217",90,95,"171","175",194,200
"N3218",90,93,"153","161",168,175
"N3219",90,99,"191","193",229,237
"N3220",90,96,"164","167",186,190
"N3301",83,91,"169","171",192,194
"N3302",90,97,"155","163",167,172
"N3303",89,93,"160","166",183,190
"N3304",81,91,"178","180",202,206
"N3305",83,90,"165","170",188,192
"N3306",85,94,"167","170",187,189
"N3307",88,91,"162","170",192,199
"N3308",NA,93,"172","174",200,204
"N3309",83,91,"152","160",166,169
"N3310",88,94,"164","169",186,191
"N3311",88,94,"163","165",179,183
"N3312",85,90,"162","164",181,186
"N3313",83,90,"166","174",194,196
"N3314",85,90,"166","168",193,196
"N3315",85,99,"192","193",229,236
"N3316",81,90,"173","177",201,206
"N3317",85,90,"172","173",194,197
"N3318",90,95,"173","174",196,198
"N3319",88,94,"172","174",199,202
