"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"V1920",NA,67,"170","173",201,NA
"V2001",NA,67,"135","142",150,157
"V2002",NA,78,"130","136",144,151
"V2003",NA,78,"143","147",157,171
"V2004",NA,74,"144","155",164,193
"V2005",NA,78,"129","143",144,158
"V2006",NA,74,"127","131",141,146
"V2007",NA,81,"128","134",143,157
"V2008",NA,78,"156","161",178,202
"V2009",NA,74,"123","131",137,149
"V2010",NA,92,"129","149",143,171
"V2011",NA,74,"126","131",141,150
"V2012",NA,74,"130","134",144,151
"V2013",NA,74,"129","134",142,154
"V2014",NA,78,"128","133",147,151
"V2015",NA,74,"132","136",149,157
"V2016",NA,81,"120","131",141,150
"V2017",NA,74,"144","167",162,196
"V2018",NA,81,"126","135",138,183
"V2019",NA,74,"134","138",150,156
"V2101",NA,67,"134","136",150,157
"V2102",NA,74,"125","132",141,152
"V2103",NA,81,"133","136",149,179
"V2104",NA,78,"140","156",158,188
"V2105",NA,74,"169","174",199,219
"V2106",NA,78,"130","136",144,152
"V2107",NA,74,"127","138",143,159
"V2108",NA,74,"128","132",143,159
"V2109",NA,74,"159","162",175,188
"V2110",NA,67,"169","172",201,219
"V2111",NA,92,"126","131",141,151
"V2112",NA,78,"113","124",132,141
"V2113",NA,74,"117","134",130,151
"V2114",NA,60,"128","136",141,157
"V2115",NA,60,"170","173",202,220
"V2116",NA,74,"117","122",134,141
"V2117",NA,74,"117","122",131,134
"V2118",NA,81,"133","140",148,171
"V2119",NA,74,"158","170",172,192
"V2120",NA,74,"128","132",141,151
"V2201",NA,74,"137","148",150,167
"V2202",NA,74,"142","145",156,163
"V2203",NA,74,"134","145",149,179
"V2204",NA,81,"130","169",142,198
"V2205",NA,78,"127","131",141,150
"V2206",NA,78,"122","134",138,151
"V2207",NA,78,"129","136",142,157
"V2208",NA,78,"117","126",134,144
"V2209",NA,74,"143","151",158,171
"V2210",NA,74,"128","134",142,164
"V2211",NA,74,"152","160",166,174
"V2212",NA,78,"134","140",149,172
"V2213",NA,81,"135","147",148,160
"V2214",NA,92,"118","128",134,167
"V2215",NA,74,"129","133",142,191
"V2216",NA,78,"129","134",146,158
"V2217",NA,78,"136","145",150,167
"V2218",NA,74,"121","130",135,145
"V2219",NA,78,"122","133",141,150
"V2301",NA,67,"148","162",164,204
"V2302",NA,74,"134","150",150,173
"V2303",NA,78,"147","161",172,198
"V2304",NA,67,"128","131",143,150
"V2305",NA,67,"121","127",138,144
"V2306",NA,74,"116","125",132,138
"V2307",NA,78,"119","128",134,170
"V2308",NA,67,"119","127",136,144
"V2309",NA,78,"128","133",144,149
"V2310",NA,67,"129","136",143,157
"V2311",NA,81,"139","173",157,202
"V2312",NA,NA,"153","159",171,NA
"V2313",NA,74,"162","167",176,203
"V2314",NA,78,"132","138",145,157
"V2315",NA,78,"139","162",156,202
"V2316",NA,81,"136","144",151,162
"V2317",NA,74,"183","189",213,NA
"V2318",NA,74,"123","130",141,145
"V2319",NA,78,"126","132",141,157
"V2320",NA,74,"149","154",162,175
"V2401",NA,92,"132","135",146,159
"V2402",NA,74,"119","127",134,141
"V2403",NA,74,"119","128",134,144
"V2404",NA,60,"166","171",199,220
"V2405",NA,78,"118","123",134,144
"V2406",NA,78,"117","127",130,150
"V2407",NA,74,"138","163",168,188
"V2408",NA,74,"129","144",145,165
"V2409",NA,74,"118","130",133,144
"V2410",NA,78,"119","123",133,139
"V2411",NA,74,"131","136",146,150
"V2412",NA,78,"133","146",146,171
"V2413",NA,74,"146","158",166,175
"V2414",NA,74,"130","137",144,158
"V2415",NA,81,"128","136",141,194
"V2416",NA,74,"124","131",141,149
"V2417",NA,74,"129","139",141,171
"V2418",NA,78,"143","147",158,172
"V2419",NA,78,"122","126",138,141
"V2501",NA,67,"146","155",159,169
"V2502",NA,74,"129","132",143,148
"V2503",NA,78,"147","160",164,197
"V2504",NA,81,"129","134",146,152
"V2505",NA,74,"137","145",154,161
"V2506",NA,74,"116","123",134,150
"V2507",NA,74,"129","135",146,156
"V2508",NA,74,"118","127",134,144
"V2509",NA,81,"141","157",152,181
"V2510",NA,69,"145","147",156,166
"V2511",NA,74,"139","144",152,158
"V2512",NA,74,"163","171",184,199
"V2513",NA,74,"150","160",161,211
"V2514",NA,78,"129","134",145,174
"V2515",NA,60,"169","173",202,220
"V2516",NA,81,"122","127",138,142
"V2517",NA,78,"128","133",144,151
"V2518",NA,78,"120","122",134,138
"V2519",NA,78,"136","145",150,160
"V2520",NA,74,"126","133",142,151
"V2601",NA,60,"169","173",199,219
"V2602",NA,78,"146","161",162,197
"V2603",NA,74,"141","148",156,204
"V2604",NA,78,"120","131",141,150
"V2605",NA,74,"132","137",149,163
"V2606",NA,67,"168","171",199,218
"V2607",NA,81,"136","164",151,202
"V2608",NA,67,"138","148",158,169
"V2609",NA,74,"126","131",141,145
"V2610",NA,81,"132","136",149,156
"V2611",NA,81,"143","149",156,185
"V2612",NA,81,"143","157",164,185
"V2613",NA,67,"137","160",152,172
"V2614",NA,67,"143","147",158,197
"V2615",NA,74,"128","150",144,186
"V2616",NA,92,"123","130",137,145
"V2617",NA,78,"123","131",137,149
"V2618",NA,74,"144","152",156,169
"V2619",NA,74,"157","168",175,196
"V2701",NA,74,"127","134",143,154
"V2702",NA,78,"129","133",144,150
"V2703",NA,74,"120","131",134,143
"V2704",NA,74,"126","131",141,146
"V2705",NA,74,"133","136",148,157
"V2706",NA,81,"143","158",157,186
"V2707",NA,67,"126","130",141,145
"V2708",NA,67,"143","151",160,174
"V2709",NA,67,"157","166",170,215
"V2710",NA,74,"142","169",158,201
"V2711",NA,81,"122","131",136,149
"V2712",NA,74,"120","126",135,142
"V2713",NA,67,"184","192",NA,NA
"V2714",NA,67,"124","128",135,145
"V2715",NA,74,"158","166",167,181
"V2716",NA,74,"126","133",142,158
"V2717",NA,60,"188","192",NA,NA
"V2718",NA,67,"169","173",202,NA
"V2719",NA,74,"126","135",141,157
"V2720",NA,81,"132","135",146,156
"V2801",NA,74,"139","149",158,NA
"V2802",NA,74,"132","138",146,156
"V2803",NA,67,"128","132",142,146
"V2804",NA,74,"121","128",134,142
"V2805",NA,74,"120","127",135,141
"V2806",NA,78,"145","177",158,201
"V2807",NA,78,"136","142",151,158
"V2808",NA,74,"130","136",146,158
"V2809",NA,60,"187","191",NA,NA
"V2810",NA,78,"127","131",142,145
"V2811",NA,78,"143","160",160,191
"V2812",NA,78,"149","156",168,181
"V2813",NA,78,"148","166",159,192
"V2814",NA,74,"127","134",141,172
"V2815",NA,78,"122","130",138,150
"V2816",NA,78,"127","135",142,151
"V2817",NA,74,"118","127",134,144
"V2818",NA,78,"157","165",171,184
"V2819",NA,74,"139","146",155,171
"V2901",NA,67,"121","129",138,150
"V2902",NA,74,"123","138",141,192
"V2903",NA,67,"147","157",161,188
"V2904",NA,67,"147","155",163,171
"V2905",NA,74,"145","167",160,197
"V2906",NA,74,"123","129",137,144
"V2907",NA,74,"129","134",146,151
"V2908",NA,60,"169","174",199,222
"V2909",NA,74,"153","158",167,174
"V2910",NA,74,"164","170",180,204
"V2911",NA,67,"133","135",149,158
"V2912",NA,60,"168","172",199,219
"V2913",NA,81,"142","158",156,172
"V2914",NA,67,"163","169",174,200
"V2915",NA,74,"126","130",139,149
"V2916",NA,74,"132","138",145,157
"V2917",NA,67,"147","152",158,164
"V2918",NA,81,"131","135",145,156
"V2919",NA,74,"143","152",158,168
"V2920",NA,67,"157","167",169,193
"V3001",NA,74,"122","129",136,145
"V3002",NA,78,"142","146",158,190
"V3003",NA,74,"143","174",158,204
"V3004",NA,78,"120","135",134,158
"V3005",NA,92,"116","131",133,165
"V3006",NA,74,"119","124",134,141
"V3007",NA,67,"160","168",183,194
"V3008",NA,67,"136","144",155,159
"V3009",NA,74,"129","138",146,160
"V3010",NA,74,"160","167",178,192
"V3011",NA,67,"146","152",164,174
"V3012",NA,74,"164","171",187,197
"V3013",NA,74,"139","150",157,175
"V3014",NA,67,"148","159",166,203
"V3015",NA,74,"132","136",145,155
"V3016",NA,74,"130","134",145,152
"V3017",NA,74,"123","134",142,150
"V3018",NA,74,"154","171",177,197
"V3019",NA,74,"119","132",137,152
"V3101",NA,74,"139","146",152,169
"V3102",NA,78,"133","142",145,158
