"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"K3308",NA,71,"95","106",111,113
"K3309",NA,67,"95","106",111,111
"K3310",NA,67,"95","106",111,111
"K3311",NA,67,"104","110",111,123
"K3312",NA,41,"117","187",120,228
"K3313",NA,67,"104","106",111,111
"K3314",NA,71,"104","106",111,113
"K3315",NA,64,"104","110",113,120
"K3316",NA,64,"110","127",127,151
"K3317",NA,67,"110","117",120,123
"K3318",NA,57,"104","106",113,125
"K3319",NA,67,"104","110",113,120
"K3320",NA,67,"104","106",111,113
